image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
Two Macaws,38.83,43.00,30.21,36.26,8.509,3.258,0.9805,0.9928
Portland Head Light,32.22,37.58,24.09,30.97,38.99,11.36,0.9143,0.9736
Planet Earth 2a,38.74,42.64,28.02,35.37,8.694,3.537,0.9775,0.9962
Planet Earth 2b,40.73,45.61,33.84,39.29,5.497,1.788,0.9800,0.9947
Planet Earth 2c,36.35,40.93,24.69,33.74,15.08,5.248,0.9510,0.9928
Lion King,32.06,36.15,26.17,30.10,40.48,15.76,0.9879,0.9900
Toy Story,26.87,32.15,18.86,25.73,133.7,39.60,0.9040,0.9570
Battlefield 1,25.55,31.51,14.37,24.40,181.2,45.92,0.7566,0.9647
Fortnite,27.76,32.34,19.92,25.36,108.9,37.91,0.9433,0.9481
