image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
TwoMacaws,38.83,44.15,30.21,37.40,8.509,2.502,0.9805,0.9940
PortlandHeadLight,32.22,37.79,24.09,31.19,38.99,10.82,0.9143,0.9749
planetearth2a,38.74,44.22,28.02,36.94,8.694,2.462,0.9775,0.9971
planetearth2b,40.73,46.20,33.84,39.89,5.497,1.559,0.9800,0.9953
planetearth2c,36.35,41.83,24.69,34.65,15.08,4.265,0.9510,0.9939
LionKing,32.06,37.65,26.17,31.60,40.48,11.16,0.9879,0.9927
ToyStory,26.87,32.71,18.86,26.28,133.7,34.86,0.9040,0.9613
bf1,25.55,31.57,14.37,24.46,181.2,45.25,0.7566,0.9652
fortnite,27.76,33.20,19.92,26.22,108.9,31.10,0.9433,0.9541
