image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
TwoMacaws,63.47,69.30,54.85,62.56,0.02923,0.007642,0.9999,1.000
PortlandHeadLight,56.71,62.51,48.58,55.91,0.1388,0.03648,0.9996,0.9999
planetearth2a,62.61,69.35,51.89,62.07,0.03565,0.007552,0.9999,1.000
planetearth2b,66.35,73.27,59.46,66.96,0.01508,0.003059,0.9999,1.000
planetearth2c,62.38,68.86,50.73,61.67,0.03756,0.008456,0.9999,1.000
LionKing,59.80,63.96,53.91,57.90,0.06816,0.02614,1.000,1.000
ToyStory,55.99,60.18,47.98,53.75,0.1637,0.06240,0.9998,0.9999
bf1,52.65,57.96,41.47,50.85,0.3529,0.1040,0.9993,0.9999
fortnite,54.14,58.05,46.30,51.07,0.2506,0.1019,0.9999,0.9999
