image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
TwoMacaws,52.57,57.69,43.96,50.95,0.3595,0.1106,0.9987,0.9996
PortlandHeadLight,46.11,51.70,37.98,45.10,1.592,0.4392,0.9946,0.9983
planetearth2a,54.75,60.94,44.02,53.66,0.2180,0.05242,0.9994,1.000
planetearth2b,59.80,65.73,52.91,59.42,0.06810,0.01738,0.9997,0.9999
planetearth2c,55.00,61.08,43.34,53.90,0.2056,0.05065,0.9991,0.9999
LionKing,46.12,51.70,40.23,45.64,1.590,0.4399,0.9995,0.9997
ToyStory,42.21,47.95,34.20,41.52,3.906,1.043,0.9969,0.9989
bf1,38.70,44.70,27.52,37.59,8.766,2.204,0.9853,0.9981
fortnite,40.12,45.49,32.28,38.51,6.325,1.837,0.9971,0.9973
