image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
TwoMacaws,50.61,50.89,42.00,44.15,0.5645,0.5292,0.9990,0.9994
PortlandHeadLight,49.02,50.44,40.89,43.84,0.8156,0.5878,0.9985,0.9991
planetearth2a,50.22,50.95,39.50,43.67,0.6182,0.5227,0.9991,0.9996
planetearth2b,50.56,50.84,43.68,44.53,0.5712,0.5356,0.9989,0.9989
planetearth2c,50.11,50.90,38.45,43.71,0.6341,0.5286,0.9983,0.9996
LionKing,50.45,50.66,44.56,44.60,0.5867,0.5584,0.9998,0.9998
ToyStory,49.11,50.17,41.10,43.74,0.7982,0.6259,0.9993,0.9996
bf1,47.62,49.73,36.43,42.62,1.126,0.6924,0.9974,0.9998
fortnite,48.42,49.68,40.58,42.70,0.9347,0.6999,0.9994,0.9995
