image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
TwoMacaws,41.18,45.95,32.56,39.21,4.955,1.652,0.9865,0.9957
PortlandHeadLight,33.29,38.81,25.16,32.20,30.49,8.560,0.9312,0.9784
planetearth2a,40.86,46.17,30.14,38.90,5.329,1.570,0.9859,0.9983
planetearth2b,42.17,47.45,35.28,41.13,3.948,1.171,0.9867,0.9966
planetearth2c,38.48,43.82,26.82,36.63,9.236,2.699,0.9688,0.9966
LionKing,33.15,38.72,27.27,32.66,31.45,8.739,0.9909,0.9943
ToyStory,27.65,33.49,19.64,27.06,111.8,29.14,0.9164,0.9660
bf1,26.14,32.16,14.95,25.05,158.3,39.58,0.7705,0.9677
fortnite,28.43,33.80,20.59,26.82,93.44,27.10,0.9507,0.9577
