image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
TwoMacaws,55.90,61.23,47.28,54.49,0.1671,0.04900,0.9994,0.9998
PortlandHeadLight,49.45,55.20,41.32,48.60,0.7386,0.1963,0.9973,0.9992
PlanetEarth2a,57.94,65.08,47.21,57.81,0.1046,0.02018,0.9997,1.000
PlanetEarth2b,64.35,71.74,57.47,65.43,0.02388,0.004355,0.9999,1.000
PlanetEarth2c,58.69,66.34,47.03,59.15,0.08799,0.01510,0.9996,1.000
LionKing,49.56,55.17,43.67,49.11,0.7197,0.1979,0.9997,0.9999
ToyStory,46.52,52.13,38.51,45.70,1.448,0.3982,0.9987,0.9996
Battlefield1,42.66,48.62,31.48,41.51,3.523,0.8934,0.9938,0.9992
Fortnite,43.69,49.06,35.85,42.08,2.782,0.8071,0.9987,0.9989
