image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
Two Macaws,42.25,44.75,33.64,38.00,3.870,2.181,0.9877,0.9950
Portland Head Light,34.07,39.21,25.94,32.60,25.48,7.808,0.9381,0.9793
Planet Earth 2a,41.87,44.23,31.15,36.96,4.227,2.455,0.9880,0.9976
Planet Earth 2b,43.41,47.36,36.52,41.04,2.967,1.195,0.9891,0.9965
Planet Earth 2c,39.94,43.22,28.28,36.04,6.594,3.096,0.9750,0.9962
Lion King,33.99,37.28,28.10,31.22,25.96,12.17,0.9925,0.9923
Toy Story,28.29,33.32,20.28,26.89,96.49,30.27,0.9249,0.9653
Battlefield 1,26.71,32.63,15.53,25.52,138.6,35.46,0.7883,0.9707
Fortnite,28.96,33.16,21.12,26.18,82.70,31.40,0.9554,0.9558
