image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
Two Macaws,65.80,60.07,57.19,53.33,0.01709,0.06401,0.9999,0.9999
Portland Head Light,60.37,57.34,52.24,50.73,0.05968,0.1201,0.9998,0.9996
Planet Earth 2a,64.62,57.81,53.90,50.54,0.02244,0.1075,0.9999,0.9999
Planet Earth 2b,67.36,63.25,60.48,56.94,0.01194,0.03077,1.000,0.9999
Planet Earth 2c,63.91,58.42,52.25,51.23,0.02646,0.09364,0.9999,0.9999
Lion King,64.78,57.22,58.89,51.17,0.02165,0.1233,1.000,0.9999
Toy Story,61.57,55.28,53.56,48.85,0.04530,0.1927,0.9999,0.9998
Battlefield 1,59.35,58.01,48.17,50.90,0.07551,0.1029,0.9997,0.9999
Fortnite,60.85,51.29,53.01,44.31,0.05347,0.4828,1.000,0.9995
