image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
TwoMacaws,57.51,64.03,48.89,57.29,0.1154,0.02571,0.9998,0.9999
PortlandHeadLight,49.54,55.55,41.41,48.94,0.7235,0.1813,0.9986,0.9996
PlanetEarth2a,57.16,64.95,46.44,57.67,0.1251,0.02081,0.9997,1.000
PlanetEarth2b,59.75,66.92,52.86,60.61,0.06889,0.01320,0.9998,1.000
PlanetEarth2c,54.30,60.97,42.64,53.78,0.2415,0.05200,0.9994,0.9999
LionKing,49.34,55.10,43.45,49.05,0.7565,0.2008,0.9998,0.9999
ToyStory,44.58,50.40,36.57,43.97,2.267,0.5926,0.9988,0.9995
Battlefield1,42.31,48.34,31.12,41.23,3.824,0.9526,0.9963,0.9994
Fortnite,45.05,50.29,37.21,43.31,2.032,0.6080,0.9991,0.9992
