image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
Two Macaws,40.98,44.06,32.36,37.31,5.193,2.555,0.9859,0.9943
Portland Head Light,33.26,38.47,25.13,31.87,30.73,9.251,0.9305,0.9768
Planet Earth 2a,40.68,43.79,29.96,36.51,5.554,2.720,0.9854,0.9973
Planet Earth 2b,41.96,46.17,35.08,39.86,4.141,1.569,0.9861,0.9955
Planet Earth 2c,38.38,42.33,26.72,35.15,9.451,3.801,0.9679,0.9953
Lion King,33.13,36.96,27.24,30.91,31.63,13.08,0.9908,0.9915
Toy Story,27.64,32.86,19.63,26.43,112.0,33.69,0.9161,0.9616
Battlefield 1,26.13,32.07,14.95,24.96,158.5,40.39,0.7694,0.9672
Fortnite,28.42,32.90,20.58,25.92,93.63,33.34,0.9504,0.9521
