image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
TwoMacaws,65.83,71.91,57.21,65.16,0.01697,0.004192,0.9999,1.000
PortlandHeadLight,60.88,66.16,52.75,59.56,0.05309,0.01573,0.9998,0.9999
PlanetEarth2a,64.86,71.59,54.13,64.31,0.02125,0.004512,0.9999,1.000
PlanetEarth2b,67.16,73.82,60.28,67.51,0.01250,0.002698,1.000,1.000
PlanetEarth2c,63.80,70.13,52.14,62.94,0.02711,0.006314,0.9999,1.000
LionKing,65.22,70.54,59.33,64.48,0.01954,0.005742,1.000,1.000
ToyStory,62.07,66.46,54.06,60.03,0.04040,0.01470,0.9999,1.000
Battlefield1,59.69,64.32,48.51,57.21,0.06980,0.02402,0.9998,1.000
Fortnite,60.89,64.10,53.05,57.11,0.05297,0.02531,1.000,1.000
