image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
TwoMacaws,42.21,46.70,33.60,39.96,3.905,1.390,0.9876,0.9962
PortlandHeadLight,34.06,39.53,25.93,32.93,25.52,7.247,0.9379,0.9805
PlanetEarth2a,41.81,46.79,31.09,39.51,4.282,1.362,0.9879,0.9985
PlanetEarth2b,43.35,48.30,36.46,41.99,3.009,0.9616,0.9889,0.9970
PlanetEarth2c,39.90,45.01,28.24,37.83,6.655,2.050,0.9747,0.9974
LionKing,33.98,39.54,28.09,33.48,25.98,7.233,0.9925,0.9954
ToyStory,28.28,34.13,20.27,27.70,96.53,25.14,0.9248,0.9702
Battlefield1,26.71,32.72,15.53,25.61,138.7,34.76,0.7882,0.9712
Fortnite,28.95,34.32,21.11,27.34,82.76,24.05,0.9554,0.9622
