image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
Two Macaws,50.61,49.99,42.00,43.25,0.5645,0.6517,0.9990,0.9993
Portland Head Light,49.02,49.07,40.89,42.47,0.8156,0.8048,0.9985,0.9988
Planet Earth 2a,50.22,49.48,39.50,42.21,0.6182,0.7322,0.9991,0.9995
Planet Earth 2b,50.56,50.40,43.68,44.08,0.5712,0.5937,0.9989,0.9988
Planet Earth 2c,50.11,49.62,38.45,42.44,0.6341,0.7092,0.9983,0.9995
Lion King,50.45,49.55,44.56,43.49,0.5867,0.7216,0.9998,0.9997
Toy Story,49.11,48.69,41.10,42.26,0.7982,0.8802,0.9993,0.9994
Battlefield 1,47.62,48.84,36.43,41.73,1.126,0.8486,0.9974,0.9997
Fortnite,48.42,47.09,40.58,40.11,0.9347,1.271,0.9994,0.9990
