image,psnrrgb,psnrycbcr,snrrgb,snrycbcr,msergb,mseycbcr,ssimrgb,ssimycbcr
img/natural/TwoMacaws.tif,38.8322,44.1471,30.2143,37.4042,8.5086,2.5025,0.9805,0.9940
img/natural/PortlandHeadLight.tif,32.2216,37.7891,24.0922,31.1870,38.9874,10.8186,0.9143,0.9749
img/natural/planetearth2a.png,38.7387,44.2186,28.0166,36.9435,8.6939,2.4616,0.9775,0.9971
img/natural/planetearth2b.png,40.7293,46.2036,33.8448,39.8894,5.4972,1.5586,0.9800,0.9953
img/natural/planetearth2c.png,36.3458,41.8312,24.6874,34.6455,15.0835,4.2654,0.9510,0.9939
img/animation/LionKing.png,32.0579,37.6544,26.1690,31.5979,40.4843,11.1595,0.9879,0.9927
img/animation/ToyStory.png,26.8686,32.7074,18.8577,26.2787,133.7281,34.8609,0.9040,0.9613
img/games/bf1.png,25.5504,31.5746,14.3676,24.4648,181.1516,45.2500,0.7566,0.9652
img/games/fortnite.png,27.7599,33.2031,19.9200,26.2204,108.9165,31.1008,0.9433,0.9541
